0022, Degree : 63, Score : 0.022443890274314215
0021, Degree : 62, Score : 0.0220876380477378
0016, Degree : 61, Score : 0.02173138582116138
0019, Degree : 61, Score : 0.02173138582116138
0023, Degree : 57, Score : 0.020306376914855716
0027, Degree : 56, Score : 0.0199501246882793
0020, Degree : 54, Score : 0.01923762023512647
0056, Degree : 51, Score : 0.01816886355539722
0030, Degree : 50, Score : 0.017812611328820806
0054, Degree : 50, Score : 0.017812611328820806
0057, Degree : 49, Score : 0.017456359102244388
0070, Degree : 49, Score : 0.017456359102244388
0055, Degree : 47, Score : 0.016743854649091557
0024, Degree : 46, Score : 0.016387602422515142
0026, Degree : 46, Score : 0.016387602422515142
0034, Degree : 46, Score : 0.016387602422515142
0069, Degree : 46, Score : 0.016387602422515142
0025, Degree : 43, Score : 0.015318845742785893
0017, Degree : 42, Score : 0.014962593516209476
0029, Degree : 42, Score : 0.014962593516209476
0036, Degree : 42, Score : 0.014962593516209476
0046, Degree : 42, Score : 0.014962593516209476
0028, Degree : 41, Score : 0.01460634128963306
0051, Degree : 41, Score : 0.01460634128963306
0033, Degree : 40, Score : 0.014250089063056644
0040, Degree : 40, Score : 0.014250089063056644
0041, Degree : 40, Score : 0.014250089063056644
0049, Degree : 40, Score : 0.014250089063056644
0071, Degree : 40, Score : 0.014250089063056644
0050, Degree : 39, Score : 0.013893836836480229
0068, Degree : 39, Score : 0.013893836836480229
0037, Degree : 38, Score : 0.013537584609903812
0038, Degree : 38, Score : 0.013537584609903812
0044, Degree : 38, Score : 0.013537584609903812
0073, Degree : 36, Score : 0.01282508015675098
0074, Degree : 36, Score : 0.01282508015675098
0014, Degree : 35, Score : 0.012468827930174564
0047, Degree : 35, Score : 0.012468827930174564
0063, Degree : 35, Score : 0.012468827930174564
0032, Degree : 34, Score : 0.012112575703598147
0053, Degree : 33, Score : 0.011756323477021732
0058, Degree : 32, Score : 0.011400071250445315
0059, Degree : 32, Score : 0.011400071250445315
0002, Degree : 31, Score : 0.0110438190238689
0012, Degree : 31, Score : 0.0110438190238689
0015, Degree : 31, Score : 0.0110438190238689
0039, Degree : 31, Score : 0.0110438190238689
0013, Degree : 30, Score : 0.010687566797292483
0018, Degree : 30, Score : 0.010687566797292483
0064, Degree : 29, Score : 0.010331314570716068
0078, Degree : 29, Score : 0.010331314570716068
0010, Degree : 28, Score : 0.00997506234413965
0011, Degree : 28, Score : 0.00997506234413965
0035, Degree : 28, Score : 0.00997506234413965
0042, Degree : 28, Score : 0.00997506234413965
0060, Degree : 28, Score : 0.00997506234413965
0072, Degree : 28, Score : 0.00997506234413965
0004, Degree : 27, Score : 0.009618810117563235
0031, Degree : 27, Score : 0.009618810117563235
0045, Degree : 27, Score : 0.009618810117563235
0062, Degree : 27, Score : 0.009618810117563235
0066, Degree : 27, Score : 0.009618810117563235
0079, Degree : 27, Score : 0.009618810117563235
0080, Degree : 27, Score : 0.009618810117563235
0052, Degree : 26, Score : 0.009262557890986818
0048, Degree : 25, Score : 0.008906305664410403
0001, Degree : 24, Score : 0.008550053437833986
0006, Degree : 22, Score : 0.007837548984681154
0008, Degree : 22, Score : 0.007837548984681154
0061, Degree : 22, Score : 0.007837548984681154
0077, Degree : 21, Score : 0.007481296758104738
0003, Degree : 20, Score : 0.007125044531528322
0076, Degree : 20, Score : 0.007125044531528322
0075, Degree : 19, Score : 0.006768792304951906
0067, Degree : 18, Score : 0.00641254007837549
0065, Degree : 17, Score : 0.006056287851799074
0081, Degree : 17, Score : 0.006056287851799074
0007, Degree : 13, Score : 0.004631278945493409
0043, Degree : 13, Score : 0.004631278945493409
0005, Degree : 12, Score : 0.004275026718916993
0009, Degree : 10, Score : 0.003562522265764161
