0396, Degree : 248, Score : 0.02024985710786315
0212, Degree : 211, Score : 0.017228709071609373
0253, Degree : 209, Score : 0.017065403772352414
0254, Degree : 197, Score : 0.016085571976810646
0395, Degree : 186, Score : 0.015187392830897362
0252, Degree : 169, Score : 0.013799297787213194
0255, Degree : 144, Score : 0.011757981546501184
0435, Degree : 135, Score : 0.01102310769984486
0257, Degree : 129, Score : 0.010533191802073977
0293, Degree : 126, Score : 0.010288233853188536
0394, Degree : 121, Score : 0.009879970605046133
0251, Degree : 119, Score : 0.009716665305789173
0172, Degree : 116, Score : 0.009471707356903732
0168, Degree : 110, Score : 0.00898179145913285
0353, Degree : 104, Score : 0.008491875561361967
0258, Degree : 102, Score : 0.008328570262105005
0211, Degree : 101, Score : 0.008246917612476526
0250, Degree : 94, Score : 0.007675349065077162
0039, Degree : 93, Score : 0.007593696415448681
0040, Degree : 86, Score : 0.007022127868049319
0397, Degree : 83, Score : 0.0067771699191638765
0296, Degree : 78, Score : 0.006368906671021475
0317, Degree : 78, Score : 0.006368906671021475
0292, Degree : 75, Score : 0.006123948722136033
0461, Degree : 75, Score : 0.006123948722136033
0247, Degree : 74, Score : 0.006042296072507553
0295, Degree : 72, Score : 0.005878990773250592
0179, Degree : 71, Score : 0.005797338123622112
0318, Degree : 71, Score : 0.005797338123622112
0320, Degree : 69, Score : 0.0056340328243651506
0174, Degree : 67, Score : 0.0054707275251081895
0243, Degree : 61, Score : 0.004980811627337307
0414, Degree : 61, Score : 0.004980811627337307
0452, Degree : 60, Score : 0.004899158977708827
0245, Degree : 57, Score : 0.004654201028823386
0259, Degree : 57, Score : 0.004654201028823386
0265, Degree : 57, Score : 0.004654201028823386
0398, Degree : 57, Score : 0.004654201028823386
0041, Degree : 56, Score : 0.004572548379194905
0173, Degree : 56, Score : 0.004572548379194905
0393, Degree : 56, Score : 0.004572548379194905
0399, Degree : 56, Score : 0.004572548379194905
0210, Degree : 53, Score : 0.0043275904303094635
0357, Degree : 53, Score : 0.0043275904303094635
0366, Degree : 51, Score : 0.004164285131052502
0244, Degree : 50, Score : 0.004082632481424022
0113, Degree : 49, Score : 0.004000979831795542
0246, Degree : 49, Score : 0.004000979831795542
0415, Degree : 49, Score : 0.004000979831795542
0112, Degree : 48, Score : 0.003919327182167061
0184, Degree : 48, Score : 0.003919327182167061
0150, Degree : 47, Score : 0.003837674532538581
0228, Degree : 47, Score : 0.003837674532538581
0327, Degree : 46, Score : 0.0037560218829101005
0387, Degree : 46, Score : 0.0037560218829101005
0119, Degree : 45, Score : 0.00367436923328162
0260, Degree : 45, Score : 0.00367436923328162
0319, Degree : 45, Score : 0.00367436923328162
0182, Degree : 44, Score : 0.0035927165836531394
0290, Degree : 44, Score : 0.0035927165836531394
0352, Degree : 44, Score : 0.0035927165836531394
0354, Degree : 44, Score : 0.0035927165836531394
0180, Degree : 43, Score : 0.0035110639340246593
0268, Degree : 43, Score : 0.0035110639340246593
0386, Degree : 43, Score : 0.0035110639340246593
0331, Degree : 42, Score : 0.0034294112843961787
0341, Degree : 42, Score : 0.0034294112843961787
0142, Degree : 41, Score : 0.003347758634767698
0144, Degree : 41, Score : 0.003347758634767698
0151, Degree : 41, Score : 0.003347758634767698
0289, Degree : 40, Score : 0.0032661059851392176
0326, Degree : 40, Score : 0.0032661059851392176
0001, Degree : 39, Score : 0.0031844533355107375
0323, Degree : 39, Score : 0.0031844533355107375
0328, Degree : 39, Score : 0.0031844533355107375
0360, Degree : 39, Score : 0.0031844533355107375
0361, Degree : 39, Score : 0.0031844533355107375
0002, Degree : 38, Score : 0.003102800685882257
0121, Degree : 38, Score : 0.003102800685882257
0141, Degree : 38, Score : 0.003102800685882257
0176, Degree : 38, Score : 0.003102800685882257
0177, Degree : 38, Score : 0.003102800685882257
0181, Degree : 38, Score : 0.003102800685882257
0269, Degree : 38, Score : 0.003102800685882257
0272, Degree : 38, Score : 0.003102800685882257
0288, Degree : 38, Score : 0.003102800685882257
0302, Degree : 38, Score : 0.003102800685882257
0325, Degree : 38, Score : 0.003102800685882257
0340, Degree : 38, Score : 0.003102800685882257
0031, Degree : 37, Score : 0.0030211480362537764
0094, Degree : 37, Score : 0.0030211480362537764
0190, Degree : 37, Score : 0.0030211480362537764
0089, Degree : 36, Score : 0.002939495386625296
0092, Degree : 36, Score : 0.002939495386625296
0145, Degree : 36, Score : 0.002939495386625296
0146, Degree : 36, Score : 0.002939495386625296
0193, Degree : 36, Score : 0.002939495386625296
0316, Degree : 36, Score : 0.002939495386625296
0339, Degree : 36, Score : 0.002939495386625296
0392, Degree : 36, Score : 0.002939495386625296
0164, Degree : 35, Score : 0.0028578427369968153
0291, Degree : 35, Score : 0.0028578427369968153
0324, Degree : 35, Score : 0.0028578427369968153
0334, Degree : 35, Score : 0.0028578427369968153
0377, Degree : 35, Score : 0.0028578427369968153
0430, Degree : 35, Score : 0.0028578427369968153
0093, Degree : 34, Score : 0.0027761900873683352
0111, Degree : 34, Score : 0.0027761900873683352
0152, Degree : 34, Score : 0.0027761900873683352
0192, Degree : 34, Score : 0.0027761900873683352
0214, Degree : 34, Score : 0.0027761900873683352
0256, Degree : 34, Score : 0.0027761900873683352
0263, Degree : 34, Score : 0.0027761900873683352
0266, Degree : 34, Score : 0.0027761900873683352
0267, Degree : 34, Score : 0.0027761900873683352
0321, Degree : 34, Score : 0.0027761900873683352
0322, Degree : 34, Score : 0.0027761900873683352
0380, Degree : 34, Score : 0.0027761900873683352
0085, Degree : 33, Score : 0.0026945374377398547
0087, Degree : 33, Score : 0.0026945374377398547
0090, Degree : 33, Score : 0.0026945374377398547
0097, Degree : 33, Score : 0.0026945374377398547
0147, Degree : 33, Score : 0.0026945374377398547
0166, Degree : 33, Score : 0.0026945374377398547
0343, Degree : 33, Score : 0.0026945374377398547
0044, Degree : 32, Score : 0.002612884788111374
0086, Degree : 32, Score : 0.002612884788111374
0102, Degree : 32, Score : 0.002612884788111374
0103, Degree : 32, Score : 0.002612884788111374
0262, Degree : 32, Score : 0.002612884788111374
0264, Degree : 32, Score : 0.002612884788111374
0270, Degree : 32, Score : 0.002612884788111374
0274, Degree : 32, Score : 0.002612884788111374
0315, Degree : 32, Score : 0.002612884788111374
0332, Degree : 32, Score : 0.002612884788111374
0333, Degree : 32, Score : 0.002612884788111374
0091, Degree : 31, Score : 0.0025312321384828936
0148, Degree : 31, Score : 0.0025312321384828936
0149, Degree : 31, Score : 0.0025312321384828936
0167, Degree : 31, Score : 0.0025312321384828936
0171, Degree : 31, Score : 0.0025312321384828936
0261, Degree : 31, Score : 0.0025312321384828936
0297, Degree : 31, Score : 0.0025312321384828936
0365, Degree : 31, Score : 0.0025312321384828936
0382, Degree : 31, Score : 0.0025312321384828936
0388, Degree : 31, Score : 0.0025312321384828936
0413, Degree : 31, Score : 0.0025312321384828936
0431, Degree : 31, Score : 0.0025312321384828936
0051, Degree : 30, Score : 0.0024495794888544135
0215, Degree : 30, Score : 0.0024495794888544135
0227, Degree : 30, Score : 0.0024495794888544135
0271, Degree : 30, Score : 0.0024495794888544135
0379, Degree : 30, Score : 0.0024495794888544135
0441, Degree : 30, Score : 0.0024495794888544135
0442, Degree : 30, Score : 0.0024495794888544135
0029, Degree : 29, Score : 0.002367926839225933
0030, Degree : 29, Score : 0.002367926839225933
0088, Degree : 29, Score : 0.002367926839225933
0098, Degree : 29, Score : 0.002367926839225933
0117, Degree : 29, Score : 0.002367926839225933
0120, Degree : 29, Score : 0.002367926839225933
0165, Degree : 29, Score : 0.002367926839225933
0338, Degree : 29, Score : 0.002367926839225933
0378, Degree : 29, Score : 0.002367926839225933
0385, Degree : 29, Score : 0.002367926839225933
0434, Degree : 29, Score : 0.002367926839225933
0436, Degree : 29, Score : 0.002367926839225933
0008, Degree : 28, Score : 0.0022862741895974524
0185, Degree : 28, Score : 0.0022862741895974524
0445, Degree : 28, Score : 0.0022862741895974524
0115, Degree : 27, Score : 0.002204621539968972
0124, Degree : 27, Score : 0.002204621539968972
0127, Degree : 27, Score : 0.002204621539968972
0143, Degree : 27, Score : 0.002204621539968972
0238, Degree : 27, Score : 0.002204621539968972
0300, Degree : 27, Score : 0.002204621539968972
0359, Degree : 27, Score : 0.002204621539968972
0432, Degree : 27, Score : 0.002204621539968972
0028, Degree : 26, Score : 0.0021229688903404917
0033, Degree : 26, Score : 0.0021229688903404917
0084, Degree : 26, Score : 0.0021229688903404917
0222, Degree : 26, Score : 0.0021229688903404917
