0289, Degree : 135, Score : 0.014296304140633273
0001, Degree : 126, Score : 0.013343217197924388
0028, Degree : 112, Score : 0.011860637509266123
0351, Degree : 101, Score : 0.010695753468177485
0030, Degree : 98, Score : 0.010378057820607857
0267, Degree : 98, Score : 0.010378057820607857
0241, Degree : 96, Score : 0.010166260722228105
0021, Degree : 94, Score : 0.009954463623848353
0008, Degree : 86, Score : 0.009107275230329344
0004, Degree : 82, Score : 0.00868368103356984
0350, Degree : 82, Score : 0.00868368103356984
0268, Degree : 77, Score : 0.00815418828762046
0229, Degree : 76, Score : 0.008048289738430584
0032, Degree : 75, Score : 0.007942391189240708
0133, Degree : 72, Score : 0.007624695541671079
0041, Degree : 71, Score : 0.007518796992481203
0059, Degree : 71, Score : 0.007518796992481203
0031, Degree : 70, Score : 0.007412898443291327
0072, Degree : 70, Score : 0.007412898443291327
0146, Degree : 70, Score : 0.007412898443291327
0335, Degree : 70, Score : 0.007412898443291327
0366, Degree : 70, Score : 0.007412898443291327
0142, Degree : 68, Score : 0.007201101344911575
0282, Degree : 68, Score : 0.007201101344911575
0036, Degree : 66, Score : 0.006989304246531823
0198, Degree : 66, Score : 0.006989304246531823
0054, Degree : 65, Score : 0.006883405697341947
0075, Degree : 64, Score : 0.00677750714815207
0320, Degree : 63, Score : 0.006671608598962194
0336, Degree : 63, Score : 0.006671608598962194
0026, Degree : 62, Score : 0.006565710049772318
0042, Degree : 62, Score : 0.006565710049772318
0348, Degree : 62, Score : 0.006565710049772318
0025, Degree : 61, Score : 0.006459811500582442
0080, Degree : 60, Score : 0.006353912951392566
0224, Degree : 60, Score : 0.006353912951392566
0060, Degree : 59, Score : 0.00624801440220269
0073, Degree : 57, Score : 0.006036217303822937
0085, Degree : 56, Score : 0.005930318754633061
0201, Degree : 55, Score : 0.005824420205443185
0029, Degree : 54, Score : 0.005718521656253309
0191, Degree : 54, Score : 0.005718521656253309
0257, Degree : 54, Score : 0.005718521656253309
0023, Degree : 53, Score : 0.005612623107063433
0046, Degree : 53, Score : 0.005612623107063433
0058, Degree : 53, Score : 0.005612623107063433
0089, Degree : 53, Score : 0.005612623107063433
0361, Degree : 53, Score : 0.005612623107063433
0271, Degree : 52, Score : 0.005506724557873557
0231, Degree : 51, Score : 0.0054008260086836814
0323, Degree : 51, Score : 0.0054008260086836814
0362, Degree : 51, Score : 0.0054008260086836814
0086, Degree : 49, Score : 0.005189028910303929
0202, Degree : 49, Score : 0.005189028910303929
0033, Degree : 48, Score : 0.005083130361114053
0269, Degree : 48, Score : 0.005083130361114053
0002, Degree : 46, Score : 0.004871333262734301
0087, Degree : 46, Score : 0.004871333262734301
0199, Degree : 46, Score : 0.004871333262734301
0038, Degree : 45, Score : 0.004765434713544425
0200, Degree : 45, Score : 0.004765434713544425
0206, Degree : 44, Score : 0.004659536164354548
0003, Degree : 43, Score : 0.004553637615164672
0084, Degree : 43, Score : 0.004553637615164672
0116, Degree : 43, Score : 0.004553637615164672
0077, Degree : 41, Score : 0.00434184051678492
0190, Degree : 40, Score : 0.004235941967595044
0293, Degree : 40, Score : 0.004235941967595044
0341, Degree : 40, Score : 0.004235941967595044
0356, Degree : 40, Score : 0.004235941967595044
0044, Degree : 39, Score : 0.004130043418405168
0109, Degree : 39, Score : 0.004130043418405168
0373, Degree : 39, Score : 0.004130043418405168
0027, Degree : 37, Score : 0.003918246320025415
0090, Degree : 37, Score : 0.003918246320025415
0119, Degree : 37, Score : 0.003918246320025415
0204, Degree : 37, Score : 0.003918246320025415
0226, Degree : 37, Score : 0.003918246320025415
0155, Degree : 36, Score : 0.0038123477708355397
0337, Degree : 36, Score : 0.0038123477708355397
0022, Degree : 35, Score : 0.0037064492216456633
0037, Degree : 35, Score : 0.0037064492216456633
0039, Degree : 35, Score : 0.0037064492216456633
0076, Degree : 35, Score : 0.0037064492216456633
0135, Degree : 35, Score : 0.0037064492216456633
0147, Degree : 35, Score : 0.0037064492216456633
0270, Degree : 35, Score : 0.0037064492216456633
0306, Degree : 35, Score : 0.0037064492216456633
0318, Degree : 35, Score : 0.0037064492216456633
0352, Degree : 35, Score : 0.0037064492216456633
0369, Degree : 35, Score : 0.0037064492216456633
0374, Degree : 35, Score : 0.0037064492216456633
0096, Degree : 34, Score : 0.0036005506724557873
0141, Degree : 34, Score : 0.0036005506724557873
0232, Degree : 34, Score : 0.0036005506724557873
0285, Degree : 34, Score : 0.0036005506724557873
0055, Degree : 33, Score : 0.0034946521232659114
0094, Degree : 33, Score : 0.0034946521232659114
0104, Degree : 33, Score : 0.0034946521232659114
0134, Degree : 33, Score : 0.0034946521232659114
0225, Degree : 33, Score : 0.0034946521232659114
0243, Degree : 33, Score : 0.0034946521232659114
0339, Degree : 33, Score : 0.0034946521232659114
0283, Degree : 32, Score : 0.003388753574076035
0368, Degree : 32, Score : 0.003388753574076035
0035, Degree : 31, Score : 0.003282855024886159
0040, Degree : 31, Score : 0.003282855024886159
0127, Degree : 31, Score : 0.003282855024886159
0143, Degree : 31, Score : 0.003282855024886159
0063, Degree : 30, Score : 0.003176956475696283
0124, Degree : 30, Score : 0.003176956475696283
0071, Degree : 29, Score : 0.003071057926506407
