0072, Degree : 61, Weighted Degree : 14457
0003, Degree : 46, Weighted Degree : 9614
0071, Degree : 46, Weighted Degree : 9614
0097, Degree : 46, Weighted Degree : 9614
0135, Degree : 46, Weighted Degree : 9614
0138, Degree : 46, Weighted Degree : 9614
0108, Degree : 60, Weighted Degree : 7680
0107, Degree : 55, Weighted Degree : 6105
0133, Degree : 61, Weighted Degree : 5490
0106, Degree : 45, Weighted Degree : 5355
0004, Degree : 56, Weighted Degree : 4760
0136, Degree : 61, Weighted Degree : 4758
0105, Degree : 45, Weighted Degree : 4050
0139, Degree : 56, Weighted Degree : 3472
0110, Degree : 23, Weighted Degree : 2760
0006, Degree : 22, Weighted Degree : 2684
0074, Degree : 22, Weighted Degree : 2596
0104, Degree : 27, Weighted Degree : 2376
0069, Degree : 23, Weighted Degree : 2346
0029, Degree : 24, Weighted Degree : 2184
0134, Degree : 29, Weighted Degree : 2175
0027, Degree : 51, Weighted Degree : 2040
0103, Degree : 27, Weighted Degree : 1998
0132, Degree : 27, Weighted Degree : 1944
0098, Degree : 48, Weighted Degree : 1728
0049, Degree : 24, Weighted Degree : 1632
0099, Degree : 48, Weighted Degree : 1488
0102, Degree : 48, Weighted Degree : 1344
0101, Degree : 43, Weighted Degree : 1290
0130, Degree : 24, Weighted Degree : 864
0095, Degree : 26, Weighted Degree : 858
0137, Degree : 28, Weighted Degree : 812
0070, Degree : 19, Weighted Degree : 646
0100, Degree : 19, Weighted Degree : 608
0007, Degree : 20, Weighted Degree : 560
0075, Degree : 20, Weighted Degree : 560
0111, Degree : 20, Weighted Degree : 560
0025, Degree : 16, Weighted Degree : 560
0026, Degree : 16, Weighted Degree : 560
0046, Degree : 16, Weighted Degree : 560
0047, Degree : 16, Weighted Degree : 560
0066, Degree : 16, Weighted Degree : 560
0067, Degree : 16, Weighted Degree : 560
0093, Degree : 16, Weighted Degree : 560
0094, Degree : 16, Weighted Degree : 560
0128, Degree : 16, Weighted Degree : 560
0129, Degree : 16, Weighted Degree : 560
0019, Degree : 16, Weighted Degree : 528
0024, Degree : 16, Weighted Degree : 528
0040, Degree : 16, Weighted Degree : 528
0045, Degree : 16, Weighted Degree : 528
0060, Degree : 16, Weighted Degree : 528
0065, Degree : 16, Weighted Degree : 528
0087, Degree : 16, Weighted Degree : 528
0092, Degree : 16, Weighted Degree : 528
0122, Degree : 16, Weighted Degree : 528
0127, Degree : 16, Weighted Degree : 528
0096, Degree : 22, Weighted Degree : 484
0002, Degree : 20, Weighted Degree : 480
0018, Degree : 16, Weighted Degree : 480
0039, Degree : 16, Weighted Degree : 480
0059, Degree : 16, Weighted Degree : 480
0086, Degree : 16, Weighted Degree : 480
0121, Degree : 16, Weighted Degree : 480
0009, Degree : 11, Weighted Degree : 341
0030, Degree : 11, Weighted Degree : 341
0050, Degree : 11, Weighted Degree : 341
0077, Degree : 11, Weighted Degree : 341
0112, Degree : 11, Weighted Degree : 341
0011, Degree : 11, Weighted Degree : 330
0032, Degree : 11, Weighted Degree : 330
0052, Degree : 11, Weighted Degree : 330
0079, Degree : 11, Weighted Degree : 330
0114, Degree : 11, Weighted Degree : 330
0001, Degree : 25, Weighted Degree : 325
0109, Degree : 23, Weighted Degree : 322
0022, Degree : 16, Weighted Degree : 320
0043, Degree : 16, Weighted Degree : 320
0063, Degree : 16, Weighted Degree : 320
0090, Degree : 16, Weighted Degree : 320
0125, Degree : 16, Weighted Degree : 320
0013, Degree : 11, Weighted Degree : 319
0015, Degree : 11, Weighted Degree : 319
0016, Degree : 11, Weighted Degree : 319
0034, Degree : 11, Weighted Degree : 319
0036, Degree : 11, Weighted Degree : 319
0037, Degree : 11, Weighted Degree : 319
0054, Degree : 11, Weighted Degree : 319
0056, Degree : 11, Weighted Degree : 319
0057, Degree : 11, Weighted Degree : 319
0081, Degree : 11, Weighted Degree : 319
0083, Degree : 11, Weighted Degree : 319
0084, Degree : 11, Weighted Degree : 319
0116, Degree : 11, Weighted Degree : 319
0118, Degree : 11, Weighted Degree : 319
0119, Degree : 11, Weighted Degree : 319
0020, Degree : 15, Weighted Degree : 315
0041, Degree : 15, Weighted Degree : 315
0061, Degree : 15, Weighted Degree : 315
0088, Degree : 15, Weighted Degree : 315
0123, Degree : 15, Weighted Degree : 315
0023, Degree : 15, Weighted Degree : 300
0044, Degree : 15, Weighted Degree : 300
0064, Degree : 15, Weighted Degree : 300
0091, Degree : 15, Weighted Degree : 300
0126, Degree : 15, Weighted Degree : 300
0010, Degree : 11, Weighted Degree : 297
0031, Degree : 11, Weighted Degree : 297
0051, Degree : 11, Weighted Degree : 297
0078, Degree : 11, Weighted Degree : 297
0113, Degree : 11, Weighted Degree : 297
0014, Degree : 11, Weighted Degree : 275
0035, Degree : 11, Weighted Degree : 275
0055, Degree : 11, Weighted Degree : 275
0082, Degree : 11, Weighted Degree : 275
0117, Degree : 11, Weighted Degree : 275
0068, Degree : 21, Weighted Degree : 273
0008, Degree : 18, Weighted Degree : 162
0073, Degree : 19, Weighted Degree : 152
0021, Degree : 12, Weighted Degree : 132
0042, Degree : 12, Weighted Degree : 132
0062, Degree : 12, Weighted Degree : 132
0089, Degree : 12, Weighted Degree : 132
0124, Degree : 12, Weighted Degree : 132
0076, Degree : 16, Weighted Degree : 128
0012, Degree : 11, Weighted Degree : 110
0033, Degree : 11, Weighted Degree : 110
0053, Degree : 11, Weighted Degree : 110
0080, Degree : 11, Weighted Degree : 110
0115, Degree : 11, Weighted Degree : 110
0005, Degree : 12, Weighted Degree : 36
0048, Degree : 10, Weighted Degree : 20
0017, Degree : 8, Weighted Degree : 8
0038, Degree : 8, Weighted Degree : 8
0058, Degree : 8, Weighted Degree : 8
0085, Degree : 8, Weighted Degree : 8
0120, Degree : 8, Weighted Degree : 8
0028, Degree : 7, Weighted Degree : 7
0131, Degree : 7, Weighted Degree : 7
